"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","598","Создание заказа без авторизации: 200 и success=true","tests","2026-05-18","passed","2026-05-18","TestOrders","test_orders","",""
"","633","Нельзя создать пользователя без обязательного поля","tests","2026-05-18","passed","2026-05-18","TestUserCreate","test_user_create","",""
"","670","Логин с неверным email/паролем: 401 и email or password are incorrect","tests","2026-05-18","passed","2026-05-18","TestUserLogin","test_user_login","",""
"","607","Создание заказа с ингредиентами: параметризация","tests","2026-05-18","passed","2026-05-18","TestOrders","test_orders","",""
"","700","Нельзя создать пользователя без обязательного поля","tests","2026-05-18","passed","2026-05-18","TestUserCreate","test_user_create","",""
"","668","Создание заказа с невалидным id ингредиента: ошибка","tests","2026-05-18","passed","2026-05-18","TestOrders","test_orders","",""
"","704","Можно создать уникального пользователя: 200 и success=true","tests","2026-05-18","passed","2026-05-18","TestUserCreate","test_user_create","",""
"","1443","Создание заказа без ингредиентов: 400","tests","2026-05-18","passed","2026-05-18","TestOrders","test_orders","",""
"","1342","Создание заказа с ингредиентами: параметризация","tests","2026-05-18","passed","2026-05-18","TestOrders","test_orders","",""
"","692","Можно залогиниться под существующим пользователем: 200 и есть токены","tests","2026-05-18","passed","2026-05-18","TestUserLogin","test_user_login","",""
"","4076","Создание заказа с авторизацией: 200 и success=true","tests","2026-05-18","passed","2026-05-18","TestOrders","test_orders","",""
"","709","Нельзя создать пользователя без обязательного поля","tests","2026-05-18","passed","2026-05-18","TestUserCreate","test_user_create","",""
"","1909","Получение списка всех заказов: 200 и в ответе есть orders","tests","2026-05-18","passed","2026-05-18","TestOrdersList","test_orders_list","",""
"","3554","Нельзя создать пользователя, который уже зарегистрирован","tests","2026-05-18","passed","2026-05-18","TestUserCreate","test_user_create","",""
